ID_Bestand;Nr;Autor;Titel;Jahr;Art;Herkunft;Kennung;Zugriffsort
1;1;Abe Kobo;Die Frau in den Dünen;1962;Roman;Japan;efb06824;TSQ56927
2;1;Abe Kobo;Die Frau in den Dünen;1962;Roman;Japan;cHG70529;DLO56498
3;1;Abe Kobo;Die Frau in den Dünen;1962;Roman;Japan;EdM39715;NdF62413
4;1;Abe Kobo;Die Frau in den Dünen;1962;Roman;Japan;fIo24057;mta50674
5;1;Abe Kobo;Die Frau in den Dünen;1962;Roman;Japan;dCc48905;wZT34810
6;1;Abe Kobo;Die Frau in den Dünen;1962;Roman;Japan;UWj96340;PsL54307
7;1;Abe Kobo;Die Frau in den Dünen;1962;Roman;Japan;edk85367;SMg12680
8;2;Chinua Achebe;Okonkwo oder Das Alte stürzt;1958;Roman;Nigeria;wyJ26015;MWc79184
9;2;Chinua Achebe;Okonkwo oder Das Alte stürzt;1958;Roman;Nigeria;MHS58234;aub29054
10;2;Chinua Achebe;Okonkwo oder Das Alte stürzt;1958;Roman;Nigeria;SIO34785;UPn69875
11;2;Chinua Achebe;Okonkwo oder Das Alte stürzt;1958;Roman;Nigeria;cYR06742;ScQ63825
12;2;Chinua Achebe;Okonkwo oder Das Alte stürzt;1958;Roman;Nigeria;ulz16905;dbK79238
13;3;Theodor W. Adorno;Minima Moralia;1951;Aphorismen;Deutschland;KDX01263;Lah28067
14;3;Theodor W. Adorno;Minima Moralia;1951;Aphorismen;Deutschland;Etl74219;VeQ90745
15;3;Theodor W. Adorno;Minima Moralia;1951;Aphorismen;Deutschland;Umt48965;NBv41098
16;3;Theodor W. Adorno;Minima Moralia;1951;Aphorismen;Deutschland;oIE97150;OLN57823
17;3;Theodor W. Adorno;Minima Moralia;1951;Aphorismen;Deutschland;Wuz94601;vct94128
18;3;Theodor W. Adorno;Minima Moralia;1951;Aphorismen;Deutschland;MdW27643;dEP16309
19;4;Theodor W. Adorno;Einleitung in die Musiksoziologie;1962;Sachbuch;Deutschland;Als40928;SKP94710
20;4;Theodor W. Adorno;Einleitung in die Musiksoziologie;1962;Sachbuch;Deutschland;pIS62047;Cro27053
21;4;Theodor W. Adorno;Einleitung in die Musiksoziologie;1962;Sachbuch;Deutschland;UKL89436;Uhq72654
22;4;Theodor W. Adorno;Einleitung in die Musiksoziologie;1962;Sachbuch;Deutschland;uYB31427;vwh94358
23;4;Theodor W. Adorno;Einleitung in die Musiksoziologie;1962;Sachbuch;Deutschland;JiY47158;vHl67405
24;4;Theodor W. Adorno;Einleitung in die Musiksoziologie;1962;Sachbuch;Deutschland;VUc69073;uIi01793
25;4;Theodor W. Adorno;Einleitung in die Musiksoziologie;1962;Sachbuch;Deutschland;ksH76045;Xef79051
26;4;Theodor W. Adorno;Einleitung in die Musiksoziologie;1962;Sachbuch;Deutschland;Vud97201;bun08265
27;5;Äsop;Fabelsammlung;-600;Fabeln;Griechenland;eHt75198;eAN70436
28;5;Äsop;Fabelsammlung;-600;Fabeln;Griechenland;dem37650;ceR43279
29;5;Äsop;Fabelsammlung;-600;Fabeln;Griechenland;QaK45390;XqT67924
30;5;Äsop;Fabelsammlung;-600;Fabeln;Griechenland;DYU28473;mFq18076
31;5;Äsop;Fabelsammlung;-600;Fabeln;Griechenland;TdD98016;hXN80673
32;5;Äsop;Fabelsammlung;-600;Fabeln;Griechenland;Pyi15863;Fic83291
33;5;Äsop;Fabelsammlung;-600;Fabeln;Griechenland;bSV61734;Hum07631
34;5;Äsop;Fabelsammlung;-600;Fabeln;Griechenland;OTW08621;xsH95674
35;6;Samuel Agnon;Gestern, vorgestern;1945;Roman;Israel;cFo20896;xJv82630
36;6;Samuel Agnon;Gestern, vorgestern;1945;Roman;Israel;gzx03487;dnw70546
37;6;Samuel Agnon;Gestern, vorgestern;1945;Roman;Israel;PTz57381;Pdl72305
38;6;Samuel Agnon;Gestern, vorgestern;1945;Roman;Israel;Ndw04581;Wfi67584
