ID_Kunde;ID_Buch;Wertung;Rezension
1;262;6;
3;399;4;Die Idee des Buches war vielversprechend, doch leider konnte die Umsetzung nicht mithalten. Die Charaktere wirkten oft eindimensional.
4;235;6;
4;860;7;Ein gelungenes Buch, das mich unterhalten hat. Einige Passagen hätten jedoch straffer sein können.
5;304;5;
5;315;5;
5;547;6;Ein durchschnittliches Buch. Einige Höhepunkte, aber auch viele Längen.
5;733;4;
6;224;8;
6;470;5;
6;933;7;
6;873;10;
7;309;1;
7;539;9;
7;241;4;
8;151;9;Dieses Buch hat mich beeindruckt! Es ist fast perfekt, mit nur wenigen, kleinen Schwächen.
8;270;1;
8;535;3;
9;180;6;
9;164;4;
9;227;5;
10;86;5;Es war okay. Weder besonders gut, noch besonders schlecht.
10;337;5;
10;156;8;Ich habe es wirklich genossen! Die Charakterentwicklung war besonders stark.
10;985;5;
11;917;7;
11;183;2;Es war eine Enttäuschung. Das Potenzial wurde komplett verschenkt.
11;517;10;Ein brillantes Buch, das ich nicht mehr aus der Hand legen konnte. Ein echtes Meisterwerk!
12;200;9;
12;239;5;
13;10;10;
13;343;3;
15;770;3;Die Geschichte kam nie wirklich in Fahrt. Ich hatte mir mehr versprochen.
16;721;7;Ein solides Buch mit einigen unerwarteten Wendungen, aber nicht überwältigend.
16;476;5;Das Buch hatte seine Momente, konnte mich aber insgesamt nicht überzeugen.
17;880;8;Sehr gut geschrieben und fesselnd bis zum Schluss. Einige wenige Schwächen.
17;719;6;
18;772;3;
19;595;3;
19;764;1;Dieses Buch hat mir überhaupt nicht gefallen. Es war langweilig und ohne klare Richtung.
19;717;5;
19;250;9;Eine wunderbare Geschichte, die tief berührt und nachdenklich macht.
20;595;6;
21;787;10;
21;141;5;
21;1057;4;
22;827;7;
22;995;4;
23;152;4;Einige Kapitel waren interessant, aber insgesamt fehlte es an Konsistenz und Tiefe.
23;45;6;
24;178;3;
24;939;9;
25;618;9;
25;99;4;Das Buch begann mit einer spannenden Idee, verlor sich aber leider in zu vielen Nebenhandlungen. Die Charaktere blieben oft zu oberflächlich und ich fand es schwierig, mich wirklich mit ihnen zu verbinden.
25;82;3;
26;840;8;
26;251;7;
26;770;7;Dieses Buch bietet solide Unterhaltung, wobei einige Kapitel besonders hervorstechen. Manchmal hatte ich das Gefühl, dass gewisse Passagen kürzer hätten sein können, insgesamt aber ein gutes Buch.
27;45;6;Das Buch war in Ordnung, weder herausragend noch enttäuschend. Die Handlung plätscherte an manchen Stellen vor sich hin, es gab aber auch interessante Wendungen.
27;935;9;
28;1008;9;
29;183;6;
30;447;2;
30;788;6;
32;218;9;
32;614;9;Ich war beeindruckt von der Tiefe der Charaktere und der kunstvollen Art, wie die Geschichte erzählt wurde. Kleinere Schwächen im Mittelteil, aber ansonsten ein großartiges Buch.
32;948;5;Das Buch war durchschnittlich. Einige Teile waren fesselnd, andere wiederum zogen sich. Es war nicht schlecht, aber ich habe schon Besseres gelesen.
33;293;5;
33;665;3;
33;197;8;
34;987;9;
34;477;4;
35;100;8;Dieses Buch war eine erfreuliche Überraschung. Tiefgründige Charaktere, eine spannende Handlung und nur wenige Längen. Empfehlenswert!
35;390;2;
35;369;3;
35;125;2;Ich hatte hohe Erwartungen, wurde aber enttäuscht. Es fehlte an Spannung und die Charaktere waren nicht gut ausgearbeitet.
36;882;3;
36;330;7;
38;752;10;Ein absolutes Meisterwerk! Jedes Kapitel war ein Genuss. Die Art und Weise, wie die Geschichte erzählt wurde, hat mich tief berührt.
38;17;4;
