;ID_Bestand;Titel;Autoren;Jahr;Gattung;Kennung;Zugriffsort
0;1;Die Frau in den Dünen;Abe Kobo;1962.0;Roman;efb06824;TSQ56927
1;2;Die Frau in den Dünen;Abe Kobo;1962.0;Roman;cHG70529;DLO56498
2;3;Die Frau in den Dünen;Abe Kobo;1962.0;Roman;EdM39715;NdF62413
3;4;Die Frau in den Dünen;Abe Kobo;1962.0;Roman;fIo24057;mta50674
4;5;Die Frau in den Dünen;Abe Kobo;1962.0;Roman;dCc48905;wZT34810
5;6;Die Frau in den Dünen;Abe Kobo;1962.0;Roman;UWj96340;PsL54307
6;7;Die Frau in den Dünen;Abe Kobo;1962.0;Roman;edk85367;SMg12680
7;8;Okonkwo oder Das Alte stürzt;Chinua Achebe;1958.0;Roman;wyJ26015;MWc79184
8;9;Okonkwo oder Das Alte stürzt;Chinua Achebe;1958.0;Roman;MHS58234;aub29054
9;10;Okonkwo oder Das Alte stürzt;Chinua Achebe;1958.0;Roman;SIO34785;UPn69875
10;11;Okonkwo oder Das Alte stürzt;Chinua Achebe;1958.0;Roman;cYR06742;ScQ63825
11;12;Okonkwo oder Das Alte stürzt;Chinua Achebe;1958.0;Roman;ulz16905;dbK79238
12;13;Minima Moralia;Theodor W. Adorno;1951.0;Aphorismen;KDX01263;Lah28067
13;14;Minima Moralia;Theodor W. Adorno;1951.0;Aphorismen;Etl74219;VeQ90745
14;15;Minima Moralia;Theodor W. Adorno;1951.0;Aphorismen;Umt48965;NBv41098
15;16;Minima Moralia;Theodor W. Adorno;1951.0;Aphorismen;oIE97150;OLN57823
16;17;Minima Moralia;Theodor W. Adorno;1951.0;Aphorismen;Wuz94601;vct94128
17;18;Minima Moralia;Theodor W. Adorno;1951.0;Aphorismen;MdW27643;dEP16309
18;19;Einleitung in die Musiksoziologie;Theodor W. Adorno;1962.0;Sachbuch;Als40928;SKP94710
19;20;Einleitung in die Musiksoziologie;Theodor W. Adorno;1962.0;Sachbuch;pIS62047;Cro27053
20;21;Einleitung in die Musiksoziologie;Theodor W. Adorno;1962.0;Sachbuch;UKL89436;Uhq72654
21;22;Einleitung in die Musiksoziologie;Theodor W. Adorno;1962.0;Sachbuch;uYB31427;vwh94358
22;23;Einleitung in die Musiksoziologie;Theodor W. Adorno;1962.0;Sachbuch;JiY47158;vHl67405
23;24;Einleitung in die Musiksoziologie;Theodor W. Adorno;1962.0;Sachbuch;VUc69073;uIi01793
24;25;Einleitung in die Musiksoziologie;Theodor W. Adorno;1962.0;Sachbuch;ksH76045;Xef79051
25;26;Einleitung in die Musiksoziologie;Theodor W. Adorno;1962.0;Sachbuch;Vud97201;bun08265
26;27;Fabelsammlung;Äsop;-600.0;Fabeln;eHt75198;eAN70436
27;28;Fabelsammlung;Äsop;-600.0;Fabeln;dem37650;ceR43279
28;29;Fabelsammlung;Äsop;-600.0;Fabeln;QaK45390;XqT67924
29;30;Fabelsammlung;Äsop;-600.0;Fabeln;DYU28473;mFq18076
30;31;Fabelsammlung;Äsop;-600.0;Fabeln;TdD98016;hXN80673
31;32;Fabelsammlung;Äsop;-600.0;Fabeln;Pyi15863;Fic83291
32;33;Fabelsammlung;Äsop;-600.0;Fabeln;bSV61734;Hum07631
33;34;Fabelsammlung;Äsop;-600.0;Fabeln;OTW08621;xsH95674
34;35;Gestern, vorgestern;Samuel Agnon;1945.0;Roman;cFo20896;xJv82630
35;36;Gestern, vorgestern;Samuel Agnon;1945.0;Roman;gzx03487;dnw70546
36;37;Gestern, vorgestern;Samuel Agnon;1945.0;Roman;PTz57381;Pdl72305
37;38;Gestern, vorgestern;Samuel Agnon;1945.0;Roman;Ndw04581;Wfi67584
38;39;Gestern, vorgestern;Samuel Agnon;1945.0;Roman;wEW14059;ERk73169
39;40;Gestern, vorgestern;Samuel Agnon;1945.0;Roman;utm96357;Mrd13620
40;41;Gestern, vorgestern;Samuel Agnon;1945.0;Roman;MXg07695;alq08571
41;42;Gestern, vorgestern;Samuel Agnon;1945.0;Roman;rdk39851;ZLm71506
42;43;Die größere Hoffnung;Ilse Aichinger;1948.0;Roman;Gjt40651;iAK70564
43;44;Die größere Hoffnung;Ilse Aichinger;1948.0;Roman;cpH34892;hqd60897
44;45;Die größere Hoffnung;Ilse Aichinger;1948.0;Roman;Odu29830;qHS43062
45;46;Die größere Hoffnung;Ilse Aichinger;1948.0;Roman;nGY60237;dPk68042
46;47;Die größere Hoffnung;Ilse Aichinger;1948.0;Roman;avH24975;BHl93478
47;48;Die größere Hoffnung;Ilse Aichinger;1948.0;Roman;ScY85624;Mmv07685
48;49;Die größere Hoffnung;Ilse Aichinger;1948.0;Roman;ITY63978;CvH42739
49;50;Dshamilja;Tschingis Aitmatow;1958.0;Erzählung;Umg06853;HGO40129
50;51;Dshamilja;Tschingis Aitmatow;1958.0;Erzählung;DFv74601;qiL10684
51;52;Dshamilja;Tschingis Aitmatow;1958.0;Erzählung;HMO25869;XLn43126
52;53;Dshamilja;Tschingis Aitmatow;1958.0;Erzählung;Iez84106;dRg84597
53;54;Dshamilja;Tschingis Aitmatow;1958.0;Erzählung;rVO80345;ukf49730
54;55;Dshamilja;Tschingis Aitmatow;1958.0;Erzählung;QKh18743;nYD20615
55;56;Dshamilja;Tschingis Aitmatow;1958.0;Erzählung;IqE30529;prK24568
56;57;Dshamilja;Tschingis Aitmatow;1958.0;Erzählung;vNB73201;aXq63157
57;58;Der große Meaulnes;Alain-Fournier;1913.0;Roman;GkR97321;BSD23795
58;59;Der große Meaulnes;Alain-Fournier;1913.0;Roman;Ksb02476;flu97635
59;60;Der große Meaulnes;Alain-Fournier;1913.0;Roman;noH87015;hzn90318
60;61;Der große Meaulnes;Alain-Fournier;1913.0;Roman;hgW17068;xYT61830
61;62;Der große Meaulnes;Alain-Fournier;1913.0;Roman;ncF56037;Lel63792
62;63;Der große Meaulnes;Alain-Fournier;1913.0;Roman;bvC58706;okv89716
63;64;Der große Meaulnes;Alain-Fournier;1913.0;Roman;mUu95240;UeC87135
64;65;Guzmán de Alfarache;Mateo Alemán;1599.0;Roman;boI51407;XhW39601
65;66;Guzmán de Alfarache;Mateo Alemán;1599.0;Roman;vqc84130;aeO62381
66;67;Guzmán de Alfarache;Mateo Alemán;1599.0;Roman;zmu56729;FYx10297
67;68;Guzmán de Alfarache;Mateo Alemán;1599.0;Roman;zog47538;pOP50692
68;69;Guzmán de Alfarache;Mateo Alemán;1599.0;Roman;Xeb13947;qzE15276
69;70;Guzmán de Alfarache;Mateo Alemán;1599.0;Roman;mZP61037;hVu73510
70;71;Der Mann mit dem goldenen Arm;Nelson Algren;1949.0;Roman;rwm68139;yhG86354
71;72;Der Mann mit dem goldenen Arm;Nelson Algren;1949.0;Roman;xTo67104;YTy73645
72;73;Der Mann mit dem goldenen Arm;Nelson Algren;1949.0;Roman;ZKS96532;TUh04691
73;74;Der Mann mit dem goldenen Arm;Nelson Algren;1949.0;Roman;Zoa84062;Wsc87491
74;75;Der Mann mit dem goldenen Arm;Nelson Algren;1949.0;Roman;eHp84015;cYa83176
75;76;Das Geisterhaus;Isabel Allende;1984.0;Roman;dKV98641;GPB79423
